FACHKUERZEL;FACHNAME;MODULKUERZEL;MODULBEZEICHNUNG;MODULVERANTWORTUNG;UUID;Spalte1;Spalte2
TZ B;Technisches Zeichnen für Wirtschaftsing und Allg. Maschinenbau;1210;Technisches Zeichnen und CAD;Walkowiak, Marcel;d4ad3104-c495-4acb-8ce0-a73881210650;;
MAS MMI;Spezielle Gebiete der Mathematik;1222;Spezielle Gebiete der Mathematik (German);Zühlke, Dietlind;4e25106a-be93-4f2b-9c7d-920e7c556689;;
MAS MMI;Spezielle Gebiete der Mathematik;1222;Spezielle Gebiete der Mathematik (German);Konen, Wolfgang;4e25106a-be93-4f2b-9c7d-920e7c556689;;
MAS MMI;Spezielle Gebiete der Mathematik;1222;Spezielle Gebiete der Mathematik (German);Lau, Elmar;4e25106a-be93-4f2b-9c7d-920e7c556689;;
SGM IM;Spezielle Gebiete der Mathematik (DE);1222;Spezielle Gebiete der Mathematik (German);Konen, Wolfgang;4e25106a-be93-4f2b-9c7d-920e7c556689;;
SGM IM;Spezielle Gebiete der Mathematik (DE);1222;Spezielle Gebiete der Mathematik (German);Lau, Elmar;4e25106a-be93-4f2b-9c7d-920e7c556689;;
SGM IM;Spezielle Gebiete der Mathematik (DE);1222;Spezielle Gebiete der Mathematik (German);Zühlke, Dietlind;4e25106a-be93-4f2b-9c7d-920e7c556689;;
OTS ET;Optimierung dynamischer Systeme ET;1230;Optimierung technischer Systeme;Wolf, Christian;ce3ff48e-28d0-4bcc-b5e7-8c0f551f2112;;
DSV E A;Digitale Signalverarbeitung;1246;Digitale Signalverarbeitung;Kampmann, Andreas;;;
ITS MAIT;IT-Security-Management and Technologies;1247;Information and Network Security in Industrial Automation (English);Klasen, Frithjof;;;
FT3  K;Projektarbeit Kunststoffverarbeitung;1263;Fertigungstechnik III / Kunststoffe;Lake, Simone;e045b42f-f56b-4f2f-94e3-fa56f3660b89;;
FT2 K;Fertigungstechnik 2 (Kunststoff);1267;Fertigungstechnik II (Metall- und Kunststoffverarbeitung);Zwanzig, Florian;ce3ff48e-28d0-4bcc-b5e7-8c0f551f2112;;
FT2 K;Fertigungstechnik 2 (Kunststoff);1267;Fertigungstechnik II (Metall- und Kunststoffverarbeitung);Lake, Simone;ce3ff48e-28d0-4bcc-b5e7-8c0f551f2112;;
FT2 M;Fertigungstechnik 2 (Metall);1267;Fertigungstechnik II (Metall- und Kunststoffverarbeitung);Zwanzig, Florian;ce3ff48e-28d0-4bcc-b5e7-8c0f551f2112;;
FT2 M;Fertigungstechnik 2 (Metall);1267;Fertigungstechnik II (Metall- und Kunststoffverarbeitung);Lake, Simone;ce3ff48e-28d0-4bcc-b5e7-8c0f551f2112;;
SWK P;Spezielle Gebiete der Werkstoffkunde Polymere;1277;Spezielle Werkstoffkunde der Kunststoffe;Katrakova-Krüger, Danka;;;
SWK P;Spezielle Gebiete der Werkstoffkunde Polymere;1277;Spezielle Werkstoffkunde der Kunststoffe;Harraß, Konstantina;;;
PM AI V;Projektmanagement (INF);1295;Projektmanagement;Günther, Holger;ce3ff48e-28d0-4bcc-b5e7-8c0f551f2112;;
PM AI V;Projektmanagement (INF);1295;Projektmanagement;Köhler, Lutz;ce3ff48e-28d0-4bcc-b5e7-8c0f551f2112;;
PM AI V;Projektmanagement (INF);1295;Projektmanagement;Winter, Mario;ce3ff48e-28d0-4bcc-b5e7-8c0f551f2112;;
PM ITM V;Projektmanagement (INF);1295;Projektmanagement;Köhler, Lutz;ce3ff48e-28d0-4bcc-b5e7-8c0f551f2112;;
PM ITM V;Projektmanagement (INF);1295;Projektmanagement;Günther, Holger;ce3ff48e-28d0-4bcc-b5e7-8c0f551f2112;;
PM ITM V;Projektmanagement (INF);1295;Projektmanagement;Winter, Mario;ce3ff48e-28d0-4bcc-b5e7-8c0f551f2112;;
PM MI V;Projektmanagement (INF);1295;Projektmanagement;Günther, Holger;ce3ff48e-28d0-4bcc-b5e7-8c0f551f2112;;
PM MI V;Projektmanagement (INF);1295;Projektmanagement;Köhler, Lutz;ce3ff48e-28d0-4bcc-b5e7-8c0f551f2112;;
PM MI V;Projektmanagement (INF);1295;Projektmanagement;Winter, Mario;ce3ff48e-28d0-4bcc-b5e7-8c0f551f2112;;
PM WI V;Projektmanagement (INF);1295;Projektmanagement;Köhler, Lutz;ce3ff48e-28d0-4bcc-b5e7-8c0f551f2112;;
PM WI V;Projektmanagement (INF);1295;Projektmanagement;Günther, Holger;ce3ff48e-28d0-4bcc-b5e7-8c0f551f2112;;
PM WI V;Projektmanagement (INF);1295;Projektmanagement;Winter, Mario;ce3ff48e-28d0-4bcc-b5e7-8c0f551f2112;;
AUV M A;Arbeits- und Vertragsrecht;1312;Arbeits- und Vertragsrecht;Strombach, Torsten;;;
AUV M A;Arbeits- und Vertragsrecht;1312;Arbeits- und Vertragsrecht;Engelen, Monika;;;
QM M;Qualitätsmanagement;1321;Qualitätsmanagement;Münster, Thomas;0f5d2c93-c5a3-4d6d-aed7-0cc42222f0cf;;
ENT E 1;Technisches Englisch Seminar Gruppe 1;1325;Technisches Englisch;Bockemühl-Simon, Tuula;9f464cde-5237-4832-a7ec-23afc46cf4eb;;
